lead_id,business_name,listing_url,source,asking_price,ebitda_or_sde,location,owner_contact_path_verified,broker_only_risk,fit_notes,status
BFS-001,Urgent Care Veterinary Clinic,https://www.bizbuysell.com/veterinary-practices-for-sale/,BizBuySell,$5,100,000,SDE $1.45M+,Milwaukee Metro Area WI,no,high,Over $5M and strong cash flow; needs owner-direct path verification,REVIEW
BFS-002,Urgent Care Veterinary Clinic (alt listing page),https://www.bizbuysell.com/pet-service-businesses-for-sale/3/,BizBuySell,$5,100,000,SDE $1.45M+,Milwaukee Metro Area WI,no,high,Duplicate candidate from category page; needs direct owner path,REVIEW
BFS-003,Equipment Business (Revenue over $5M),https://www.bizbuysell.com/business-opportunity/own-a-booming-equipment-business-revenue-over-5-million-35-gr/2209771/,BizBuySell,unknown,unknown,Maine,no,high,High-level candidate from prior search; capture owner contact path before inclusion,REVIEW
BFS-004,Las Vegas Manufacturing Business (sales over $5M),https://www.bizbuysell.com/nevada/las-vegas/manufacturing-businesses-for-sale/,BizBuySell,unknown,Net revenue $1.4M (snippet),Las Vegas NV,no,high,Category-level page indicates >$5M sales; needs exact listing + owner path,REVIEW
BFS-005,High-Volume Liquid Waste Hauling,https://dealstream.com/united-states/utility-businesses-for-sale,DealStream,Inquire,Adj EBITDA $5.7M (snippet),PA + surrounding,no,medium,Large target with strong EBITDA; verify owner path not broker-only,REVIEW
BFS-006,Large Businesses Marketplace,https://dealstream.com/large-businesses-for-sale,DealStream,varies,varies,US/global,no,medium,Source page for $5M-$100M+ listings; pull listing-level leads next,SOURCE
BFS-007,US Large Businesses Marketplace,https://dealstream.com/united-states/large-businesses-for-sale,DealStream,varies,varies,United States,no,medium,US-specific source page; listing-level extraction pending,SOURCE
BFS-008,BizBuySell General Listings,https://www.bizbuysell.com/businesses-for-sale/,BizBuySell,varies,varies,US,no,high,Primary feed for additional candidates with manual owner-path check,SOURCE
BFS-009,BizBuySell Start-up/Large Listings,https://www.bizbuysell.com/start-up-businesses-for-sale/,BizBuySell,varies,varies,US,no,high,Secondary feed surfaced $5M-$100M broker references; verify owner path,SOURCE
BFS-010,BizQuest Over $5M Marketplace,https://www.bizquest.com/businesses-for-sale-price-over-5m/,BizQuest,varies,varies,US,no,unknown,Marketplace source discovered; direct scrape blocked,SOURCE
